date,SE1,SE2,SE3,SE4,SE
2017-05-01,25112.822361,38060.666847,200508.12165,56333.050774,320014.661632
2017-05-02,25193.442059,39853.434398,216462.22531,64331.076185,345840.177952
2017-05-03,23968.993248,40536.263464,217273.418455,62556.34978,344335.024947
2017-05-04,23535.870755,39868.72242,219638.095508,63588.227103,346630.91578599997
2017-05-05,23112.524362,38995.392343,214879.088355,61978.704702,338965.709762
2017-05-06,21966.565392,37177.563182,183780.386284,51319.646647,294244.161505
2017-05-07,22507.047105,38946.504678,193884.358709,50367.679413,305705.589905
2017-05-08,24342.642101,44363.059017,236446.503588,64261.014409,369413.219115
2017-05-09,24742.489026,45364.937104,242171.383754,67025.216356,379304.02624
2017-05-10,24277.715882,44638.912644,244052.791759,69104.270051,382073.690336
2017-05-11,23776.307066,44355.593664,243881.673579,70424.708395,382438.282704
2017-05-12,23916.504736,41231.358281,226635.547455,63222.849653,355006.26012500003
2017-05-13,22568.878269,38385.407357,198844.584281,52316.702517,312115.572424
2017-05-14,22556.601332,37717.450734,194732.019999,50115.917682,305121.98974700004
2017-05-15,23300.84568,42752.850854,226514.418347,58347.523321,350915.638202
2017-05-16,22917.892039,43141.683733,221427.382057,59949.969098,347436.92692700005
2017-05-17,22394.61236,41967.279569,216004.439437,59242.5869,339608.918266
2017-05-18,22327.650663,41161.490762,203188.612405,56350.219666,323027.973496
2017-05-19,22309.907449,40112.024912,194957.234252,54080.064116,311459.230729
2017-05-20,21014.387552,36305.360686,175855.424284,46063.332774,279238.505296
2017-05-21,21378.791001,35496.335325,178435.121996,46194.974529,281505.222851
2017-05-22,22564.216345,39818.327745,205119.569129,56230.949713,323733.062932
2017-05-23,22950.699987,39300.874548,205052.773305,57586.825166,324891.173006
2017-05-24,23234.388964,38223.21206,201503.723519,57587.071033,320548.395576
2017-05-25,22580.224905,35888.32258,177467.534641,49185.869776,285121.951902
2017-05-26,23205.658092,37056.689384,183011.409755,50471.660193,293745.417424
2017-05-27,23152.01197,35764.026026,170038.864998,46186.514171,275141.417165
2017-05-28,23860.752946,34157.693403,170108.68156,45504.799328,273631.927237
2017-05-29,24769.50886,38343.552971,195960.796155,55338.913168,314412.77115399996
2017-05-30,24462.01486,36663.458572,202375.396204,57802.761274,321303.63091
2017-05-31,24362.56511,38091.193759,206148.233921,57347.921473,325949.914263
2017-06-01,24449.676427,39892.526404,205871.249385,56077.525439,326290.977655
2017-06-02,24327.608162,39131.931302,198142.940661,53611.243071,315213.723196
2017-06-03,22588.625502,34581.559224,176567.123089,44622.886024,278360.193839
2017-06-04,21943.467009,32560.068117,173530.105749,44632.540996,272666.18187100004
2017-06-05,22724.519191,36195.104425,190077.590744,50307.722278,299304.93663799996
2017-06-06,21837.790539,34070.901614,175328.556021,46698.567545,277935.815719
2017-06-07,22720.154166,34832.220354,202221.171076,56569.41344,316342.95903599996
2017-06-08,22789.826528,35915.582326,204568.466259,57839.367453,321113.24256600003
2017-06-09,21948.564312,36212.35002,198307.685562,54227.789191,310696.389085
2017-06-10,20126.639926,33646.697188,175822.792478,45623.621292,275219.750884
2017-06-11,20385.267138,31935.973035,177038.113693,45489.529691,274848.88355699996
2017-06-12,22530.927342,34004.734997,203793.333107,54814.87875,315143.87419600005
2017-06-13,21948.459247,33656.96723,200281.608492,55291.429074,311178.464043
2017-06-14,22374.145269,35976.771253,199386.042286,54934.927445,312671.886253
2017-06-15,22105.674422,35640.159535,194849.393817,55100.447017,307695.67479099997
2017-06-16,21863.493225,33851.852117,188845.186668,53017.2659,297577.79791
2017-06-17,21507.618845,31871.609003,168350.719764,44364.453593,266094.401205
2017-06-18,21280.436703,32184.1499,168073.96942,44002.916038,265541.472061
2017-06-19,22752.341993,35706.960093,197444.818505,54191.773776,310095.89436700003
2017-06-20,22345.180314,36008.044103,196559.864929,54670.619051,309583.708397
2017-06-21,22191.889738,36924.978713,199636.710773,54454.839823,313208.419047
2017-06-22,22110.345573,37124.407356,194009.120915,53960.816758,307204.690602
2017-06-23,21461.015389,33125.783836,161000.590272,42545.769497,258133.158994
2017-06-24,21161.045918,32883.093217,155342.405392,40988.190839,250374.735366
2017-06-25,21735.175315,32646.963796,163305.122303,43249.697512,260936.958926
2017-06-26,22619.318794,36835.229845,193611.850261,54187.438874,307253.837774
2017-06-27,22384.701917,40116.689847,197719.50167,56091.876222,316312.769656
2017-06-28,22841.157781,37870.812032,195554.34157,55788.662619,312054.974002
2017-06-29,22758.574194,37474.086789,196187.364797,56576.455377,312996.481157
2017-06-30,22273.213622,36946.375734,189609.270047,55326.266748,304155.126151
2017-07-01,20592.908738,33514.590315,164062.827674,47195.868331,265366.195058
2017-07-02,21140.648859,31454.600867,165319.248473,45222.320696,263136.81889500003
2017-07-03,21748.941764,36942.414525,190573.284971,54829.512049,304094.153309
2017-07-04,22331.559029,39160.63428,189740.65965,54180.910276,305413.76323499996
2017-07-05,23736.844983,39656.418377,195369.153344,54180.660474,312943.07717799995
2017-07-06,22933.370727,37984.624292,193687.373512,54145.94404,308751.31257099996
2017-07-07,22533.752538,37457.804167,184909.651647,51269.584096,296170.792448
